units_traded,price,total,type,count,timestamp
0.0753,98721367.86188579,7433719,1,15,2024-04-10 19:17:27.621812
0.1268,98702981.07255521,12515538,1,7,2024-04-10 19:17:28.622078
0.013,98703000.0,1283139,1,2,2024-04-10 19:17:29.622871
0.037000000000000005,98702999.99999999,3652011,1,2,2024-04-10 19:17:30.623087
0.005,98703000.0,493515,1,1,2024-04-10 19:17:31.623347
0.063,98703000.0,6218289,1,2,2024-04-10 19:17:32.623729
0.049,98703000.0,4836447,1,2,2024-04-10 19:17:33.624163
0.034,98703000.0,3355902,1,2,2024-04-10 19:17:34.624979
0.046,98703000.0,4540338,1,2,2024-04-10 19:17:35.625770
0.0117,98703589.74358974,1154832,1,3,2024-04-10 19:17:36.625875
0.003,98704000.0,296112,1,1,2024-04-10 19:17:37.625927
0.005,98704000.0,493520,1,1,2024-04-10 19:17:38.626359
0.00211822,98792854.37773225,209265,0,1,2024-04-10 19:17:39.627263
0.00119319,98789798.77471316,117875,0,1,2024-04-10 19:17:41.628826
0.16,98703737.5,15792598,1,4,2024-04-10 19:17:41.628826
0.16,98703125.0,15792500,1,3,2024-04-10 19:17:42.629715
0.065,98703000.0,6415695,1,2,2024-04-10 19:17:43.630136
0.06,98703000.0,5922180,1,2,2024-04-10 19:17:44.631132
0.07,98702999.99999999,6909210,1,2,2024-04-10 19:17:45.631776
